Opt, Size, Seq, Par, Libc
0, 50000000, 17.269476, 9.695916, 17.381655
1, 50000000, 9.096098, 7.224065, 11.728601
2, 50000000, 7.651508, 6.853373, 11.328842
3, 50000000, 7.645101, 6.904516, 11.333497
0, 50, 0.000005, 0.023349, 0.000012
1, 50, 0.000004, 0.023242, 0.000009
2, 50, 0.000005, 0.029690, 0.000009
3, 50, 0.000004, 0.019065, 0.000007
0, 10000000, 3.122716, 2.064152, 3.163616
1, 10000000, 1.655065, 1.560508, 2.121840
2, 10000000, 1.408621, 1.558749, 2.054960
3, 10000000, 1.405932, 1.661706, 2.051869
0, 1000000, 0.273118, 0.423832, 0.269513
1, 1000000, 0.145284, 0.780271, 0.180370
2, 1000000, 0.123565, 0.465309, 0.175755
3, 1000000, 0.121723, 0.384813, 0.174523
0, 100000, 0.022251, 0.407406, 0.024087
1, 100000, 0.013129, 0.365153, 0.016773
2, 100000, 0.010498, 0.369469, 0.016755
3, 100000, 0.010378, 0.441843, 0.014986
0, 1000000, 0.272954, 0.440671, 0.267437
1, 1000000, 0.145557, 0.332505, 0.180876
2, 1000000, 0.123132, 0.409057, 0.176841
3, 1000000, 0.124739, 0.489973, 0.174893
0, 50, 0.000005, 0.020369, 0.000008
1, 50, 0.000006, 0.019936, 0.000008
2, 50, 0.000005, 0.015494, 0.000008
3, 50, 0.000004, 0.016837, 0.000010
0, 10000000, 3.150860, 2.026436, 3.158453
1, 10000000, 1.640680, 1.548922, 2.143036
2, 10000000, 1.415581, 1.463443, 2.053940
3, 10000000, 1.395137, 1.566582, 2.053602
0, 500000, 0.128863, 0.412081, 0.127211
1, 500000, 0.070229, 0.347756, 0.088008
2, 500000, 0.059576, 0.435564, 0.083728
3, 500000, 0.058954, 0.453202, 0.084240
0, 50, 0.000005, 0.023065, 0.000009
1, 50, 0.000005, 0.022958, 0.000009
2, 50, 0.000005, 0.015531, 0.000008
3, 50, 0.000004, 0.017650, 0.000009
0, 100, 0.000015, 0.040387, 0.000021
1, 100, 0.000010, 0.032544, 0.000016
2, 100, 0.000009, 0.029736, 0.000013
3, 100, 0.000009, 0.038783, 0.000016
0, 50000, 0.011271, 0.376683, 0.013037
1, 50000, 0.006722, 0.363959, 0.007999
2, 50000, 0.007977, 0.339597, 0.007766
3, 50000, 0.005081, 0.382796, 0.008127
0, 5000, 0.000861, 0.256516, 0.001290
1, 5000, 0.000618, 0.220750, 0.000902
2, 5000, 0.000582, 0.260973, 0.000863
3, 5000, 0.000517, 0.228283, 0.000776
0, 1000, 0.000158, 0.196900, 0.000230
1, 1000, 0.000094, 0.144387, 0.000168
2, 1000, 0.000132, 0.169226, 0.000183
3, 1000, 0.000116, 0.148948, 0.000164
0, 100000, 0.023575, 0.351945, 0.023467
1, 100000, 0.012109, 0.324744, 0.015856
2, 100000, 0.010410, 0.423983, 0.015214
3, 100000, 0.010337, 0.398172, 0.015346
0, 50, 0.000008, 0.013051, 0.000009
1, 50, 0.000005, 0.015026, 0.000008
2, 50, 0.000004, 0.022665, 0.000013
3, 50, 0.000005, 0.018905, 0.000011
0, 10, 0.000001, 0.002523, 0.000004
1, 10, 0.000001, 0.002857, 0.000004
2, 10, 0.000001, 0.002264, 0.000003
3, 10, 0.000001, 0.002108, 0.000003
0, 10000, 0.002292, 0.183816, 0.002427
1, 10000, 0.001033, 0.188075, 0.001743
2, 10000, 0.001006, 0.208644, 0.001693
3, 10000, 0.000912, 0.218783, 0.001916
0, 50000, 0.011365, 0.426994, 0.011426
1, 50000, 0.006382, 0.363529, 0.007613
2, 50000, 0.004944, 0.424351, 0.007891
3, 50000, 0.005151, 0.397421, 0.007571
0, 50, 0.000006, 0.015130, 0.000009
1, 50, 0.000004, 0.019440, 0.000010
2, 50, 0.000005, 0.020498, 0.000008
3, 50, 0.000004, 0.017645, 0.000009
0, 5000000, 1.504128, 1.106360, 1.513385
1, 5000000, 0.797198, 0.923938, 1.019121
2, 5000000, 0.674953, 0.880367, 0.978999
3, 5000000, 0.685840, 0.895260, 0.978595
0, 100000, 0.022861, 0.367425, 0.022982
1, 100000, 0.012157, 0.285522, 0.015496
2, 100000, 0.011123, 0.407999, 0.015221
3, 100000, 0.010769, 0.334722, 0.015435
0, 10000000, 3.158457, 2.017691, 3.164030
1, 10000000, 1.664121, 1.597714, 2.124189
2, 10000000, 1.420972, 1.600286, 2.054092
3, 10000000, 1.400983, 1.585310, 2.056111
0, 500000, 0.128276, 0.323587, 0.128904
1, 500000, 0.068697, 0.315304, 0.087972
2, 500000, 0.057748, 0.338223, 0.082491
3, 500000, 0.058340, 0.359141, 0.084389
0, 100, 0.000017, 0.041767, 0.000020
1, 100, 0.000010, 0.040293, 0.000017
2, 100, 0.000010, 0.038973, 0.000014
3, 100, 0.000009, 0.031433, 0.000016
0, 5000, 0.001130, 0.322998, 0.001231
1, 5000, 0.000522, 0.297453, 0.000900
2, 5000, 0.000550, 0.326945, 0.000903
3, 5000, 0.000523, 0.316896, 0.000869
0, 100, 0.000014, 0.047372, 0.000021
1, 100, 0.000010, 0.033474, 0.000017
2, 100, 0.000010, 0.025527, 0.000014
3, 100, 0.000008, 0.031062, 0.000016
0, 50000000, 17.206705, 9.543312, 17.408724
1, 50000000, 9.018670, 7.174464, 11.730870
2, 50000000, 7.626256, 6.817394, 11.371737
3, 50000000, 7.874501, 6.953127, 11.381599
0, 50000, 0.011971, 0.433369, 0.011400
1, 50000, 0.005775, 0.319714, 0.007815
2, 50000, 0.004943, 0.335429, 0.007767
3, 50000, 0.004964, 0.313481, 0.007769
0, 1000000, 0.269681, 0.400196, 0.271834
1, 1000000, 0.143267, 0.388231, 0.182817
2, 1000000, 0.121971, 0.374543, 0.175389
3, 1000000, 0.123181, 0.427840, 0.176761
0, 100000000, 36.033775, 19.515215, 38.915700
1, 100000000, 19.213922, 14.674845, 25.290311
2, 100000000, 18.978219, 14.359933, 24.725924
3, 100000000, 19.503029, 14.603900, 25.715503
0, 10000000, 4.425795, 2.923045, 4.640946
1, 10000000, 2.457381, 2.229539, 2.256398
2, 10000000, 1.433983, 1.584173, 2.097583
3, 10000000, 1.466678, 1.688956, 2.086825
0, 10000000, 3.175853, 2.054686, 3.457064
1, 10000000, 1.851761, 1.622555, 2.226880
2, 10000000, 1.504556, 1.680828, 2.358875
3, 10000000, 1.634939, 1.568036, 2.160791
0, 500, 0.000065, 0.108219, 0.000111
1, 500, 0.000042, 0.128452, 0.000082
2, 500, 0.000040, 0.142938, 0.000174
3, 500, 0.000263, 0.152735, 0.000090
0, 100000000, 38.555240, 21.129125, 37.373276
1, 100000000, 21.008388, 15.517603, 28.292918
2, 100000000, 17.600304, 14.339086, 26.518371
3, 100000000, 18.249257, 14.509818, 26.465056
0, 50000000, 18.665058, 11.067890, 19.693624
1, 50000000, 10.176441, 7.588627, 13.629767
2, 50000000, 8.500994, 7.431971, 12.681288
3, 50000000, 8.547324, 7.331155, 12.704816
0, 50000, 0.011187, 0.402896, 0.013529
1, 50000, 0.006323, 0.467042, 0.008138
2, 50000, 0.005337, 0.447130, 0.009465
3, 50000, 0.005444, 0.477457, 0.008076
0, 500000, 0.143826, 0.523845, 0.142256
1, 500000, 0.078827, 0.948239, 0.102625
2, 500000, 0.066281, 0.483609, 0.091693
3, 500000, 0.065109, 0.391470, 0.091636
0, 500, 0.000075, 0.134223, 0.000085
1, 500, 0.000052, 0.106555, 0.000090
2, 500, 0.000060, 0.098100, 0.000125
3, 500, 0.000044, 0.118427, 0.000078
0, 10000, 0.001960, 0.544389, 0.002029
1, 10000, 0.001057, 0.294297, 0.001453
2, 10000, 0.000978, 0.378353, 0.001367
3, 10000, 0.000977, 0.333627, 0.001479
0, 100000000, 39.131077, 22.919798, 42.201950
1, 100000000, 20.991727, 15.386252, 28.078861
2, 100000000, 17.806175, 14.665316, 24.409193
3, 100000000, 16.999346, 15.057419, 26.727384
0, 100000000, 39.532216, 22.470617, 45.417547
1, 100000000, 20.589270, 15.320176, 27.815498
2, 100000000, 17.985132, 14.853185, 26.902986
3, 100000000, 17.951802, 14.753031, 27.511348
0, 50000, 0.011866, 0.464671, 0.012718
1, 50000, 0.006211, 0.460350, 0.008112
2, 50000, 0.005586, 0.480940, 0.007896
3, 50000, 0.006082, 0.426295, 0.010326
0, 100000, 0.031356, 0.350738, 0.025317
1, 100000, 0.013348, 0.513907, 0.018967
2, 100000, 0.011785, 0.442452, 0.017070
3, 100000, 0.011067, 0.474681, 0.018927
0, 100000000, 40.159142, 23.471170, 41.197111
1, 100000000, 21.038313, 15.522444, 28.103767
2, 100000000, 18.146456, 14.708785, 27.423414
3, 100000000, 18.001978, 14.948802, 27.193338
0, 5000, 0.001006, 0.282468, 0.001210
1, 5000, 0.000727, 0.308974, 0.000832
2, 5000, 0.000472, 0.313427, 0.000614
3, 5000, 0.000495, 0.328191, 0.000841
0, 10, 0.000001, 0.010998, 0.000004
1, 10, 0.000001, 0.001330, 0.000002
2, 10, 0.000000, 0.005658, 0.000004
3, 10, 0.000001, 0.003810, 0.000004
0, 100000, 0.025077, 0.372370, 0.028057
1, 100000, 0.013724, 0.361172, 0.016870
2, 100000, 0.011887, 0.418827, 0.016593
3, 100000, 0.014404, 0.528618, 0.016386
0, 5000, 0.001105, 0.336269, 0.000920
1, 5000, 0.000533, 0.325110, 0.000914
2, 5000, 0.000514, 0.315546, 0.000618
3, 5000, 0.000582, 0.289516, 0.000742
0, 5000000, 1.726636, 1.304703, 1.675684
1, 5000000, 0.914799, 0.961601, 1.183949
2, 5000000, 0.757315, 1.031574, 1.106714
3, 5000000, 0.762929, 0.932177, 1.120822
0, 500, 0.000079, 0.146944, 0.000086
1, 500, 0.000043, 0.152709, 0.000080
2, 500, 0.000041, 0.136791, 0.000075
3, 500, 0.000043, 0.128907, 0.000067
0, 100, 0.000012, 0.029911, 0.000015
1, 100, 0.000007, 0.038148, 0.000016
2, 100, 0.000007, 0.038869, 0.000016
