Opt, Size, Seq, Par, Libc
3, , 0.000000, 0.000305, 0.000001
0, , 0.000000, 0.000630, 0.000002
1, , 0.000000, 0.000630, 0.000002
2, , 0.000000, 0.000630, 0.000002
3, , 0.000000, 0.000630, 0.000002
0, , 0.000001, 0.000702, 0.000002
1, , 0.000001, 0.000702, 0.000002
2, , 0.000001, 0.000702, 0.000002
3, , 0.000001, 0.000702, 0.000002
0, , 0.000000, 0.000255, 0.000001
1, , 0.000000, 0.000255, 0.000001
2, , 0.000000, 0.000255, 0.000001
3, , 0.000000, 0.000255, 0.000001
0, , 0.000000, 0.000271, 0.000001
1, , 0.000000, 0.000271, 0.000001
2, , 0.000000, 0.000271, 0.000001
3, , 0.000000, 0.000271, 0.000001
0, , 0.000000, 0.000637, 0.000001
1, , 0.000000, 0.000637, 0.000001
2, , 0.000000, 0.000637, 0.000001
3, , 0.000000, 0.000637, 0.000001
0, , 0.000001, 0.000256, 0.000001
1, , 0.000001, 0.000256, 0.000001
2, , 0.000001, 0.000256, 0.000001
3, , 0.000001, 0.000256, 0.000001
0, , 0.000000, 0.000642, 0.000002
1, , 0.000000, 0.000642, 0.000002
2, , 0.000000, 0.000642, 0.000002
3, , 0.000000, 0.000642, 0.000002
0, , 0.000001, 0.000582, 0.000001
1, , 0.000001, 0.000582, 0.000001
2, , 0.000001, 0.000582, 0.000001
3, , 0.000001, 0.000582, 0.000001
0, , 0.000000, 0.000244, 0.000002
1, , 0.000000, 0.000244, 0.000002
2, , 0.000000, 0.000244, 0.000002
3, , 0.000000, 0.000244, 0.000002
0, , 0.000000, 0.000405, 0.000002
1, , 0.000000, 0.000405, 0.000002
2, , 0.000000, 0.000405, 0.000002
3, , 0.000000, 0.000405, 0.000002
0, , 0.000000, 0.000146, 0.000001
1, , 0.000000, 0.000146, 0.000001
2, , 0.000000, 0.000146, 0.000001
3, , 0.000000, 0.000146, 0.000001
0, , 0.000000, 0.000132, 0.000001
1, , 0.000000, 0.000132, 0.000001
2, , 0.000000, 0.000132, 0.000001
3, , 0.000000, 0.000132, 0.000001
0, , 0.000000, 0.000129, 0.000001
1, , 0.000000, 0.000129, 0.000001
2, , 0.000000, 0.000129, 0.000001
3, , 0.000000, 0.000129, 0.000001
0, , 0.000000, 0.000140, 0.000001
1, , 0.000000, 0.000140, 0.000001
2, , 0.000000, 0.000140, 0.000001
3, , 0.000000, 0.000140, 0.000001
0, , 0.000000, 0.000145, 0.000001
1, , 0.000000, 0.000145, 0.000001
2, , 0.000000, 0.000145, 0.000001
3, , 0.000000, 0.000145, 0.000001
0, , 0.000000, 0.000148, 0.000002
1, , 0.000000, 0.000148, 0.000002
2, , 0.000000, 0.000148, 0.000002
3, , 0.000000, 0.000148, 0.000002
0, , 0.000000, 0.000148, 0.000001
1, , 0.000000, 0.000148, 0.000001
2, , 0.000000, 0.000148, 0.000001
3, , 0.000000, 0.000148, 0.000001
0, , 0.000000, 0.000146, 0.000002
1, , 0.000000, 0.000146, 0.000002
2, , 0.000000, 0.000146, 0.000002
3, , 0.000000, 0.000146, 0.000002
0, , 0.000000, 0.000328, 0.000002
1, , 0.000000, 0.000328, 0.000002
2, , 0.000000, 0.000328, 0.000002
3, , 0.000000, 0.000328, 0.000002
0, , 0.000000, 0.000259, 0.000002
1, , 0.000000, 0.000259, 0.000002
