Opt, Size, Seq, Par, Libc
0, 25000000, 8.570636, 4.979604, 8.409672
1, 25000000, 4.395262, 3.719217, 5.643513
2, 25000000, 3.723607, 3.696313, 5.482457
3, 25000000, 3.756888, 3.643343, 5.503180
0, 50, 0.000005, 0.017413, 0.000011
1, 50, 0.000004, 0.015881, 0.000007
2, 50, 0.000004, 0.017435, 0.000009
3, 50, 0.000004, 0.019141, 0.000009
0, 10000000, 3.174792, 1.958206, 3.190502
1, 10000000, 1.679132, 1.632820, 2.138780
2, 10000000, 1.409526, 1.635973, 2.084906
3, 10000000, 1.410488, 1.515994, 2.080740
0, 1000000, 0.278840, 0.482480, 0.271234
1, 1000000, 0.147522, 0.347831, 0.185133
2, 1000000, 0.122951, 0.405325, 0.174558
3, 1000000, 0.128624, 0.388162, 0.180463
0, 100000, 0.023656, 0.396027, 0.024909
1, 100000, 0.012638, 0.295251, 0.015475
2, 100000, 0.010591, 0.251464, 0.016302
3, 100000, 0.010471, 0.245970, 0.015074
0, 1000000, 0.279298, 0.412926, 0.270484
1, 1000000, 0.146760, 0.382922, 0.189003
2, 1000000, 0.123983, 0.465495, 0.174640
3, 1000000, 0.126626, 0.399365, 0.181449
0, 50, 0.000005, 0.013433, 0.000010
1, 50, 0.000005, 0.023844, 0.000011
2, 50, 0.000005, 0.016179, 0.000009
3, 50, 0.000006, 0.015369, 0.000011
0, 10000000, 3.185409, 1.960618, 3.194635
1, 10000000, 1.671783, 1.617256, 2.147088
2, 10000000, 1.419858, 1.551059, 2.082641
3, 10000000, 1.438290, 1.599700, 2.187181
0, 500000, 0.132973, 0.333556, 0.127908
1, 500000, 0.068983, 0.326278, 0.090736
2, 500000, 0.060235, 0.326796, 0.083554
3, 500000, 0.058365, 0.341491, 0.088595
0, 50, 0.000005, 0.016874, 0.000010
1, 50, 0.000003, 0.018981, 0.000008
2, 50, 0.000005, 0.019991, 0.000007
3, 50, 0.000005, 0.025314, 0.000010
0, 100, 0.000017, 0.025560, 0.000019
1, 100, 0.000019, 0.037476, 0.000016
2, 100, 0.000011, 0.041296, 0.000017
3, 100, 0.000011, 0.043597, 0.000016
0, 50000, 0.011067, 0.357658, 0.010804
1, 50000, 0.005844, 0.358252, 0.007831
2, 50000, 0.005041, 0.363258, 0.008493
3, 50000, 0.005566, 0.409010, 0.007272
0, 5000, 0.000951, 0.265606, 0.001375
1, 5000, 0.000534, 0.204220, 0.000932
2, 5000, 0.000469, 0.256680, 0.000775
3, 5000, 0.000470, 0.222676, 0.000826
0, 1000, 0.000145, 0.156505, 0.000235
1, 1000, 0.000121, 0.138357, 0.000177
2, 1000, 0.000126, 0.113512, 0.000167
3, 1000, 0.000100, 0.133850, 0.000166
0, 100000, 0.022623, 0.408747, 0.023997
1, 100000, 0.013324, 0.416726, 0.016305
2, 100000, 0.010680, 0.351287, 0.015283
3, 100000, 0.012008, 0.326910, 0.015582
0, 50, 0.000005, 0.015108, 0.000012
1, 50, 0.000006, 0.019940, 0.000008
2, 50, 0.000003, 0.021490, 0.000011
3, 50, 0.000003, 0.017153, 0.000009
0, 10, 0.000001, 0.003410, 0.000003
1, 10, 0.000001, 0.002858, 0.000003
2, 10, 0.000001, 0.003923, 0.000003
3, 10, 0.000001, 0.002855, 0.000003
0, 10000, 0.002205, 0.293385, 0.002578
1, 10000, 0.001029, 0.251965, 0.001967
