Opt, Size, Seq, Par, Libc
0, , 0.000001, 0.000314, 0.000001
1, , 0.000000, 0.000323, 0.000002
2, , 0.000000, 0.000633, 0.000002
3, , 0.000001, 0.000214, 0.000002
0, , 0.000000, 0.000276, 0.000002
1, , 0.000000, 0.000186, 0.000001
2, , 0.000001, 0.000204, 0.000001
3, , 0.000000, 0.000187, 0.000002
0, , 0.000000, 0.000111, 0.000002
1, , 0.000000, 0.000141, 0.000002
2, , 0.000000, 0.000161, 0.000002
3, , 0.000000, 0.000157, 0.000003
0, , 0.000000, 0.000249, 0.000001
1, , 0.000001, 0.000204, 0.000001
2, , 0.000001, 0.000205, 0.000002
3, , 0.000001, 0.000866, 0.000005
0, , 0.000000, 0.000296, 0.000002
1, , 0.000001, 0.000536, 0.000002
2, , 0.000000, 0.000656, 0.000002
3, , 0.000000, 0.000279, 0.000001
0, , 0.000000, 0.000182, 0.000001
1, , 0.000000, 0.000188, 0.000001
2, , 0.000001, 0.000526, 0.000002
3, , 0.000001, 0.000560, 0.000002
0, , 0.000000, 0.000187, 0.000001
1, , 0.000000, 0.000203, 0.000002
2, , 0.000000, 0.000200, 0.000002
3, , 0.000000, 0.000182, 0.000001
0, , 0.000000, 0.000143, 0.000002
1, , 0.000010, 0.000130, 0.000002
2, , 0.000000, 0.000141, 0.000002
3, , 0.000000, 0.000158, 0.000001
0, , 0.000000, 0.000142, 0.000001
1, , 0.000000, 0.000147, 0.000001
2, , 0.000001, 0.000177, 0.000001
3, , 0.000001, 0.000140, 0.000002
0, , 0.000000, 0.000694, 0.000001
1, , 0.000001, 0.000318, 0.000002
2, , 0.000000, 0.000622, 0.000001
3, , 0.000000, 0.000275, 0.000002
0, , 0.000000, 0.000286, 0.000001
1, , 0.000000, 0.000675, 0.000003
2, , 0.000001, 0.000247, 0.000001
3, , 0.000000, 0.000212, 0.000001
0, , 0.000000, 0.000556, 0.000001
1, , 0.000000, 0.000246, 0.000001
2, , 0.000000, 0.000539, 0.000001
3, , 0.000000, 0.000234, 0.000001
0, , 0.000000, 0.000136, 0.000001
1, , 0.000001, 0.000138, 0.000002
2, , 0.000000, 0.000165, 0.000001
3, , 0.000000, 0.000157, 0.000002
0, , 0.000000, 0.000141, 0.000001
1, , 0.000000, 0.000155, 0.000002
2, , 0.000000, 0.000158, 0.000002
3, , 0.000000, 0.000148, 0.000001
0, , 0.000000, 0.000724, 0.000002
1, , 0.000001, 0.000281, 0.000001
2, , 0.000000, 0.000679, 0.000001
3, , 0.000000, 0.000720, 0.000002
