Opt, Size, Seq, Par, Libc
0, 1000000, 0.295328, 0.400659, 0.275092
1, 1000000, 0.145913, 0.406214, 0.185957
2, 1000000, 0.122946, 0.368361, 0.178341
3, 1000000, 0.121720, 0.339307, 0.191656
0, 25000000, 8.359398, 4.966668, 8.540251
1, 25000000, 4.413150, 3.600442, 5.774392
2, 25000000, 3.779087, 3.486741, 5.581605
3, 25000000, 3.805906, 3.717433, 5.579988
0, 500000, 0.131007, 0.413038, 0.128787
1, 500000, 0.070701, 0.450212, 0.089230
2, 500000, 0.058122, 0.363610, 0.086964
3, 500000, 0.060402, 0.378843, 0.083501
0, 10, 0.000001, 0.002894, 0.000004
1, 10, 0.000001, 0.004677, 0.000003
2, 10, 0.000000, 0.003906, 0.000004
3, 10, 0.000001, 0.006559, 0.000005
0, 25000000, 8.271360, 4.981356, 8.524127
1, 25000000, 4.400877, 3.678361, 5.780325
2, 25000000, 3.775257, 3.725235, 5.601846
3, 25000000, 3.832576, 3.781525, 5.602444
0, 500, 0.000065, 0.092654, 0.000120
1, 500, 0.000058, 0.086246, 0.000091
2, 500, 0.000048, 0.080010, 0.000094
3, 500, 0.000057, 0.075565, 0.000089
0, 500, 0.000093, 0.084393, 0.000118
1, 500, 0.000057, 0.101155, 0.000091
2, 500, 0.000050, 0.083031, 0.000089
3, 500, 0.000055, 0.085211, 0.000089
0, 15000000, 4.914597, 2.940922, 4.964330
1, 15000000, 2.545210, 2.167982, 3.356040
2, 15000000, 2.174343, 2.280101, 3.250147
3, 15000000, 2.166504, 2.360189, 3.256975
0, 5000000, 1.512720, 1.111407, 1.523474
1, 5000000, 0.806143, 0.902923, 1.029023
2, 5000000, 0.678461, 0.869888, 0.999274
3, 5000000, 0.690213, 0.959665, 0.995894
0, 100, 0.000013, 0.032805, 0.000017
1, 100, 0.000010, 0.036569, 0.000016
2, 100, 0.000011, 0.044121, 0.000016
3, 100, 0.000010, 0.037789, 0.000017
0, 5000, 0.001204, 0.282095, 0.001320
1, 5000, 0.000553, 0.322133, 0.000797
2, 5000, 0.000470, 0.233423, 0.000866
3, 5000, 0.000473, 0.226582, 0.000864
0, 15000000, 4.873922, 2.955420, 4.968527
1, 15000000, 2.577734, 2.424657, 3.367619
2, 15000000, 2.178889, 2.255542, 3.311917
3, 15000000, 2.174853, 2.171672, 3.253986
0, 500, 0.000068, 0.071036, 0.000126
1, 500, 0.000051, 0.086609, 0.000089
2, 500, 0.000056, 0.088199, 0.000088
3, 500, 0.000056, 0.071735, 0.000087
0, 100, 0.000016, 0.037157, 0.000022
1, 100, 0.000011, 0.034124, 0.000014
2, 100, 0.000007, 0.033930, 0.000017
3, 100, 0.000009, 0.038920, 0.000017
0, 7000000, 2.189500, 1.603698, 2.208066
1, 7000000, 1.144581, 1.180426, 1.475374
2, 7000000, 0.972214, 1.222512, 1.430425
3, 7000000, 0.967976, 1.122575, 1.432334
0, 5000, 0.001124, 0.253483, 0.001061
1, 5000, 0.000621, 0.269474, 0.000895
2, 5000, 0.000553, 0.235603, 0.000852
3, 5000, 0.000531, 0.309751, 0.000848
0, 5000000, 1.592401, 1.089825, 1.526374
1, 5000000, 0.807121, 0.901726, 1.036490
2, 5000000, 0.690063, 1.044146, 1.011680
3, 5000000, 0.689992, 0.906494, 0.998286
0, 10000000, 3.170080, 1.949441, 3.207173
1, 10000000, 1.692681, 1.596529, 2.153026
2, 10000000, 1.429855, 1.545461, 2.113774
3, 10000000, 1.423550, 1.625469, 2.095134
0, 10000, 0.002082, 0.274774, 0.002398
1, 10000, 0.001047, 0.261097, 0.001674
2, 10000, 0.000903, 0.237308, 0.001682
3, 10000, 0.000984, 0.239043, 0.001727
0, 15000000, 4.961757, 3.052519, 4.988985
1, 15000000, 2.565132, 2.261380, 3.362845
2, 15000000, 2.175254, 2.336961, 3.241683
3, 15000000, 2.162940, 2.217766, 3.270577
0, 50, 0.000006, 0.019317, 0.000012
1, 50, 0.000006, 0.029842, 0.000008
2, 50, 0.000004, 0.022003, 0.000009
3, 50, 0.000004, 0.019344, 0.000008
0, 100000, 0.023039, 0.350046, 0.022726
1, 100000, 0.012187, 0.268342, 0.015768
2, 100000, 0.010382, 0.332772, 0.017471
3, 100000, 0.010816, 0.408191, 0.015533
0, 100, 0.000011, 0.019320, 0.000019
1, 100, 0.000010, 0.031860, 0.000015
2, 100, 0.000010, 0.041644, 0.000014
3, 100, 0.000009, 0.028305, 0.000013
0, 5000, 0.001323, 0.221402, 0.001251
1, 5000, 0.000582, 0.235177, 0.000901
2, 5000, 0.000560, 0.244772, 0.000863
3, 5000, 0.000555, 0.249631, 0.000825
0, 15000000, 5.040095, 2.949814, 4.994292
1, 15000000, 2.560184, 2.240755, 3.375831
2, 15000000, 2.194166, 2.222386, 3.271080
3, 15000000, 2.163836, 2.261327, 3.252749
0, 5000, 0.000943, 0.201644, 0.001288
1, 5000, 0.000634, 0.243549, 0.000894
2, 5000, 0.000468, 0.212783, 0.000849
3, 5000, 0.000484, 0.269481, 0.000703
0, 100000, 0.022766, 0.327281, 0.023420
1, 100000, 0.012945, 0.390645, 0.016926
2, 100000, 0.010584, 0.346922, 0.015498
3, 100000, 0.011324, 0.339494, 0.015486
0, 1000, 0.000147, 0.112593, 0.000225
