Opt, Size, Seq, Par, Libc
0, 50, 0.000000, 0.000198, 0.000001
1, 50, 0.000000, 0.000198, 0.000001
2, 50, 0.000000, 0.000193, 0.000001
3, 50, 0.000000, 0.000286, 0.000001
0, 50, 0.000000, 0.000550, 0.000002
1, 50, 0.000000, 0.000247, 0.000002
2, 50, 0.000000, 0.000236, 0.000002
3, 50, 0.000000, 0.000297, 0.000002
0, 10, 0.000001, 0.000164, 0.000002
1, 10, 0.000000, 0.000171, 0.000001
2, 10, 0.000000, 0.000134, 0.000001
3, 10, 0.000000, 0.000134, 0.000002
0, 50, 0.000001, 0.000751, 0.000002
1, 50, 0.000000, 0.000256, 0.000001
2, 50, 0.000000, 0.000266, 0.000001
3, 50, 0.000001, 0.000200, 0.000001
0, 100, 0.000001, 0.000285, 0.000002
1, 100, 0.000000, 0.000593, 0.000002
2, 100, 0.000000, 0.001170, 0.000004
3, 100, 0.000000, 0.000268, 0.000002
0, 50, 0.000001, 0.000180, 0.000001
1, 50, 0.000000, 0.000175, 0.000001
2, 50, 0.000000, 0.000161, 0.000001
3, 50, 0.000000, 0.000512, 0.000001
0, 50, 0.000001, 0.000653, 0.000002
1, 50, 0.000001, 0.000235, 0.000002
2, 50, 0.000001, 0.000223, 0.000001
3, 50, 0.000000, 0.000183, 0.000001
0, 10, 0.000001, 0.000187, 0.000001
1, 10, 0.000000, 0.000124, 0.000002
2, 10, 0.000001, 0.000129, 0.000001
3, 10, 0.000000, 0.000154, 0.000002
0, 10, 0.000000, 0.000142, 0.000001
1, 10, 0.000000, 0.000146, 0.000001
2, 10, 0.000000, 0.000188, 0.000002
3, 10, 0.000000, 0.000150, 0.000001
0, 100, 0.000000, 0.000309, 0.000001
1, 100, 0.000000, 0.000276, 0.000002
2, 100, 0.000000, 0.000628, 0.000002
3, 100, 0.000000, 0.000330, 0.000001
0, 100, 0.000001, 0.000276, 0.000001
1, 100, 0.000000, 0.000648, 0.000003
2, 100, 0.000000, 0.000294, 0.000002
3, 100, 0.000000, 0.000278, 0.000001
0, 100, 0.000000, 0.000235, 0.000002
1, 100, 0.000001, 0.000484, 0.000002
2, 100, 0.000000, 0.000225, 0.000002
3, 100, 0.000001, 0.000519, 0.000001
0, 10, 0.000000, 0.000123, 0.000002
1, 10, 0.000000, 0.000118, 0.000001
2, 10, 0.000000, 0.000125, 0.000001
3, 10, 0.000000, 0.000131, 0.000002
0, 10, 0.000000, 0.000135, 0.000001
1, 10, 0.000000, 0.000157, 0.000002
2, 10, 0.000000, 0.000141, 0.000001
3, 10, 0.000000, 0.000144, 0.000002
0, 100, 0.000001, 0.000261, 0.000001
1, 100, 0.000001, 0.000261, 0.000002
2, 100, 0.000000, 0.000262, 0.000001
3, 100, 0.000000, 0.000294, 0.000001
0, 10, 0.000000, 0.000213, 0.000002
1, 10, 0.000000, 0.000209, 0.000001
2, 10, 0.000000, 0.000198, 0.000002
3, 10, 0.000001, 0.000402, 0.000011
0, 500000, 0.000001, 0.002277, 0.000003
1, 500000, 0.000002, 0.002570, 0.000003
2, 500000, 0.000001, 0.003588, 0.000003
3, 500000, 0.000001, 0.005487, 0.000004
0, 2000000, 0.000002, 0.004604, 0.000004
1, 2000000, 0.000000, 0.004097, 0.000004
2, 2000000, 0.000002, 0.004574, 0.000003
3, 2000000, 0.000001, 0.003993, 0.000003
0, 1000, 0.000001, 0.000964, 0.000003
1, 1000, 0.000001, 0.001332, 0.000003
2, 1000, 0.000001, 0.001526, 0.000004
3, 1000, 0.000001, 0.001413, 0.000002
0, 50, 0.000000, 0.000183, 0.000001
1, 50, 0.000000, 0.000163, 0.000001
2, 50, 0.000000, 0.000854, 0.000003
3, 50, 0.000000, 0.000213, 0.000001
0, 50, 0.000000, 0.000161, 0.000001
1, 50, 0.000000, 0.000143, 0.000001
2, 50, 0.000000, 0.000132, 0.000000
3, 50, 0.000000, 0.000156, 0.000000
0, 3000000, 0.000002, 0.004465, 0.000004
1, 3000000, 0.000001, 0.005690, 0.000004
2, 3000000, 0.000001, 0.005144, 0.000004
3, 3000000, 0.000001, 0.005441, 0.000004
0, 500, 0.000001, 0.000325, 0.000002
1, 500, 0.000000, 0.000292, 0.000002
2, 500, 0.000000, 0.000632, 0.000002
3, 500, 0.000001, 0.000779, 0.000003
0, 50, 0.000000, 0.000245, 0.000003
1, 50, 0.000000, 0.000172, 0.000001
2, 50, 0.000001, 0.000882, 0.000004
3, 50, 0.000000, 0.000221, 0.000002
0, 50000, 0.000001, 0.002655, 0.000004
1, 50000, 0.000001, 0.002250, 0.000003
2, 50000, 0.000001, 0.002305, 0.000003
3, 50000, 0.000001, 0.002863, 0.000003
0, 100, 0.000001, 0.000600, 0.000002
1, 100, 0.000001, 0.000223, 0.000002
2, 100, 0.000000, 0.000563, 0.000002
3, 100, 0.000001, 0.000240, 0.000001
0, 500, 0.000000, 0.000253, 0.000002
1, 500, 0.000001, 0.000825, 0.000002
2, 500, 0.000000, 0.000655, 0.000003
3, 500, 0.000000, 0.000504, 0.000004
0, 10, 0.000000, 0.000113, 0.000001
1, 10, 0.000001, 0.000117, 0.000001
2, 10, 0.000000, 0.000120, 0.000001
3, 10, 0.000000, 0.000161, 0.000001
0, 1000, 0.000001, 0.001064, 0.000002
1, 1000, 0.000001, 0.001913, 0.000003
2, 1000, 0.000000, 0.001174, 0.000004
3, 1000, 0.000000, 0.001152, 0.000003
0, 3000000, 0.000002, 0.005129, 0.000003
1, 3000000, 0.000001, 0.004008, 0.000004
2, 3000000, 0.000001, 0.006070, 0.000003
3, 3000000, 0.000001, 0.004519, 0.000004
