Opt, Size, Seq, Par, Libc
0, , 0.000000, 0.000666, 0.000002
1, , 0.000000, 0.000308, 0.000002
2, , 0.000000, 0.000248, 0.000002
3, , 0.000000, 0.000337, 0.000002
0, , 0.000000, 0.000217, 0.000001
1, , 0.000000, 0.000187, 0.000001
2, , 0.000000, 0.000162, 0.000001
3, , 0.000000, 0.000955, 0.000002
0, , 0.000000, 0.000292, 0.000004
1, , 0.000001, 0.000162, 0.000001
2, , 0.000000, 0.000153, 0.000002
3, , 0.000001, 0.000165, 0.000002
0, , 0.000000, 0.000613, 0.000002
1, , 0.000001, 0.000420, 0.000001
2, , 0.000000, 0.000193, 0.000001
3, , 0.000001, 0.000342, 0.000003
0, , 0.000000, 0.000570, 0.000001
1, , 0.000001, 0.000500, 0.000007
2, , 0.000000, 0.000371, 0.000001
3, , 0.000000, 0.000734, 0.000002
0, , 0.000001, 0.000176, 0.000001
1, , 0.000000, 0.000180, 0.000001
2, , 0.000000, 0.000153, 0.000001
3, , 0.000000, 0.000482, 0.000001
0, , 0.000001, 0.000665, 0.000003
1, , 0.000001, 0.000224, 0.000002
2, , 0.000000, 0.000265, 0.000001
3, , 0.000000, 0.000212, 0.000001
0, , 0.000000, 0.000139, 0.000001
1, , 0.000000, 0.000147, 0.000002
2, , 0.000000, 0.000160, 0.000001
3, , 0.000000, 0.000148, 0.000002
0, , 0.000000, 0.000139, 0.000001
1, , 0.000000, 0.000155, 0.000001
2, , 0.000000, 0.000196, 0.000002
3, , 0.000000, 0.000292, 0.000002
0, , 0.000001, 0.000690, 0.000001
1, , 0.000000, 0.000269, 0.000001
2, , 0.000000, 0.000523, 0.000001
3, , 0.000000, 0.000540, 0.000002
0, , 0.000001, 0.000707, 0.000002
1, , 0.000000, 0.000320, 0.000001
2, , 0.000001, 0.000278, 0.000001
3, , 0.000001, 0.000638, 0.000002
0, , 0.000000, 0.000627, 0.000001
1, , 0.000001, 0.000211, 0.000001
2, , 0.000000, 0.000196, 0.000001
3, , 0.000000, 0.000200, 0.000001
0, , 0.000000, 0.000105, 0.000001
1, , 0.000000, 0.000117, 0.000001
2, , 0.000000, 0.000114, 0.000001
3, , 0.000001, 0.000126, 0.000002
0, , 0.000001, 0.000146, 0.000001
1, , 0.000000, 0.000141, 0.000002
2, , 0.000000, 0.000131, 0.000001
3, , 0.000000, 0.000148, 0.000001
0, , 0.000001, 0.000696, 0.000002
1, , 0.000001, 0.000256, 0.000001
2, , 0.000000, 0.001023, 0.000001
3, , 0.000000, 0.000242, 0.000001
