Opt, Size, Seq, Par, Libc
0, 50, 0.000001, 0.000302, 0.000002
1, 50, 0.000000, 0.000569, 0.000002
2, 50, 0.000000, 0.000203, 0.000002
3, 50, 0.000000, 0.000783, 0.000005
0, 50, 0.000000, 0.000220, 0.000001
1, 50, 0.000001, 0.000179, 0.000001
2, 50, 0.000000, 0.000158, 0.000001
3, 50, 0.000000, 0.000146, 0.000001
0, 10, 0.000000, 0.000099, 0.000001
1, 10, 0.000000, 0.000107, 0.000001
2, 10, 0.000000, 0.000133, 0.000002
3, 10, 0.000000, 0.000120, 0.000001
0, 50, 0.000000, 0.000200, 0.000001
1, 50, 0.000000, 0.000207, 0.000002
2, 50, 0.000000, 0.000758, 0.000006
3, 50, 0.000000, 0.000454, 0.000018
0, 100, 0.000000, 0.000384, 0.000011
1, 100, 0.000001, 0.000240, 0.000001
2, 100, 0.000000, 0.000241, 0.000001
3, 100, 0.000000, 0.000229, 0.000001
0, 50, 0.000000, 0.000140, 0.000001
1, 50, 0.000000, 0.000161, 0.000001
2, 50, 0.000000, 0.000185, 0.000001
3, 50, 0.000000, 0.000181, 0.000001
0, 50, 0.000000, 0.000504, 0.000011
1, 50, 0.000000, 0.000193, 0.000001
2, 50, 0.000000, 0.000244, 0.000003
3, 50, 0.000000, 0.000175, 0.000002
0, 10, 0.000000, 0.000127, 0.000002
1, 10, 0.000000, 0.000114, 0.000001
2, 10, 0.000000, 0.000110, 0.000002
3, 10, 0.000000, 0.000128, 0.000002
0, 10, 0.000000, 0.000117, 0.000001
1, 10, 0.000000, 0.000122, 0.000002
2, 10, 0.000000, 0.000123, 0.000001
3, 10, 0.000000, 0.000135, 0.000001
0, 100, 0.000000, 0.000604, 0.000001
1, 100, 0.000001, 0.000292, 0.000001
2, 100, 0.000001, 0.000546, 0.000002
3, 100, 0.000001, 0.000284, 0.000001
0, 100, 0.000000, 0.000626, 0.000002
1, 100, 0.000001, 0.000319, 0.000002
2, 100, 0.000000, 0.000290, 0.000001
3, 100, 0.000001, 0.000638, 0.000002
0, 100, 0.000000, 0.000244, 0.000002
1, 100, 0.000001, 0.000177, 0.000001
2, 100, 0.000000, 0.000575, 0.000002
3, 100, 0.000001, 0.000178, 0.000001
0, 10, 0.000000, 0.000102, 0.000001
1, 10, 0.000000, 0.000115, 0.000001
2, 10, 0.000000, 0.000150, 0.000002
3, 10, 0.000000, 0.000133, 0.000001
0, 10, 0.000000, 0.000119, 0.000001
1, 10, 0.000000, 0.000170, 0.000002
2, 10, 0.000000, 0.000157, 0.000002
3, 10, 0.000000, 0.000150, 0.000001
0, 100, 0.000000, 0.000247, 0.000001
1, 100, 0.000001, 0.000626, 0.000002
2, 100, 0.000000, 0.000743, 0.000002
3, 100, 0.000000, 0.000281, 0.000002
