Opt, Size, Seq, Par, Libc
0, 1000000, 0.000001, 0.001916, 0.000004
1, 1000000, 0.000001, 0.002024, 0.000004
2, 1000000, 0.000001, 0.002554, 0.000004
3, 1000000, 0.000001, 0.002788, 0.000005
0, 500000000, 0.000002, 0.007090, 0.000004
1, 500000000, 0.000001, 0.005610, 0.000005
2, 500000000, 0.000001, 0.006429, 0.000004
3, 500000000, 0.000001, 0.007453, 0.000013
0, 500000, 0.000001, 0.001815, 0.000003
1, 500000, 0.000000, 0.002529, 0.000003
2, 500000, 0.000001, 0.001669, 0.000003
3, 500000, 0.000001, 0.002384, 0.000003
0, 10, 0.000000, 0.000112, 0.000001
1, 10, 0.000000, 0.000094, 0.000001
2, 10, 0.000000, 0.000095, 0.000001
3, 10, 0.000001, 0.000094, 0.000001
0, 500000000, 0.000002, 0.004308, 0.000004
1, 500000000, 0.000002, 0.004170, 0.000004
2, 500000000, 0.000001, 0.004204, 0.000004
3, 500000000, 0.000001, 0.005165, 0.000004
0, 500, 0.000001, 0.000360, 0.000002
1, 500, 0.000000, 0.000645, 0.000002
2, 500, 0.000000, 0.000434, 0.000002
3, 500, 0.000000, 0.000629, 0.000003
0, 500, 0.000001, 0.000345, 0.000002
1, 500, 0.000001, 0.000646, 0.000003
2, 500, 0.000001, 0.000664, 0.000002
3, 500, 0.000001, 0.000677, 0.000002
0, 100000000, 0.000002, 0.003691, 0.000004
1, 100000000, 0.000002, 0.004820, 0.000005
2, 100000000, 0.000001, 0.003922, 0.000004
3, 100000000, 0.000001, 0.004232, 0.000006
0, 5000000, 0.000002, 0.005571, 0.000004
1, 5000000, 0.000001, 0.004642, 0.000003
2, 5000000, 0.000001, 0.005237, 0.000004
3, 5000000, 0.000001, 0.003428, 0.000003
0, 100, 0.000000, 0.000510, 0.000001
1, 100, 0.000001, 0.000240, 0.000001
2, 100, 0.000000, 0.000490, 0.000001
3, 100, 0.000000, 0.000205, 0.000001
0, 5000, 0.000000, 0.000680, 0.000003
1, 5000, 0.000000, 0.000601, 0.000002
2, 5000, 0.000000, 0.001030, 0.000003
3, 5000, 0.000000, 0.001374, 0.000003
0, 100000000, 0.000002, 0.006731, 0.000004
1, 100000000, 0.000002, 0.005381, 0.000004
2, 100000000, 0.000001, 0.004558, 0.000005
3, 100000000, 0.000001, 0.003596, 0.000004
0, 500, 0.000000, 0.000340, 0.000002
1, 500, 0.000001, 0.000729, 0.000003
2, 500, 0.000001, 0.000377, 0.000002
3, 500, 0.000001, 0.000302, 0.000003
0, 100, 0.000000, 0.000759, 0.000002
1, 100, 0.000000, 0.000596, 0.000002
2, 100, 0.000001, 0.000266, 0.000001
3, 100, 0.000000, 0.000234, 0.000002
0, 10000000, 0.000001, 0.004453, 0.000004
1, 10000000, 0.000002, 0.003528, 0.000004
2, 10000000, 0.000001, 0.003886, 0.000003
3, 10000000, 0.000001, 0.003129, 0.000004
0, 5000, 0.000000, 0.000852, 0.000002
1, 5000, 0.000000, 0.000989, 0.000003
2, 5000, 0.000001, 0.000713, 0.000003
3, 5000, 0.000001, 0.000751, 0.000003
0, 5000000, 0.000001, 0.003227, 0.000004
1, 5000000, 0.000001, 0.002590, 0.000004
2, 5000000, 0.000000, 0.003263, 0.000004
3, 5000000, 0.000001, 0.003862, 0.000004
0, 50000000, 0.000002, 0.004451, 0.000004
1, 50000000, 0.000001, 0.005478, 0.000005
2, 50000000, 0.000001, 0.004475, 0.000004
3, 50000000, 0.000001, 0.003577, 0.000004
0, 10000, 0.000000, 0.001116, 0.000002
1, 10000, 0.000000, 0.001631, 0.000003
2, 10000, 0.000000, 0.001371, 0.000003
3, 10000, 0.000000, 0.001007, 0.000003
0, 100000000, 0.000001, 0.006019, 0.000004
1, 100000000, 0.000002, 0.004588, 0.000004
2, 100000000, 0.000002, 0.005819, 0.000014
3, 100000000, 0.000001, 0.005764, 0.000004
0, 50, 0.000000, 0.000215, 0.000001
1, 50, 0.000001, 0.000184, 0.000001
2, 50, 0.000000, 0.000169, 0.000001
3, 50, 0.000000, 0.000226, 0.000002
0, 100000, 0.000001, 0.001877, 0.000003
1, 100000, 0.000001, 0.001741, 0.000003
2, 100000, 0.000001, 0.002393, 0.000004
3, 100000, 0.000000, 0.002666, 0.000004
0, 100, 0.000000, 0.001480, 0.000002
1, 100, 0.000000, 0.000305, 0.000002
2, 100, 0.000000, 0.000640, 0.000002
3, 100, 0.000000, 0.000274, 0.000002
0, 5000, 0.000001, 0.000776, 0.000002
1, 5000, 0.000000, 0.001496, 0.000003
2, 5000, 0.000001, 0.001556, 0.000003
3, 5000, 0.000000, 0.001142, 0.000003
0, 100000000, 0.000002, 0.006095, 0.000004
1, 100000000, 0.000001, 0.005303, 0.000005
2, 100000000, 0.000001, 0.005018, 0.000003
3, 100000000, 0.000001, 0.003254, 0.000004
0, 5000, 0.000001, 0.001392, 0.000003
1, 5000, 0.000001, 0.001065, 0.000002
2, 5000, 0.000000, 0.001030, 0.000002
3, 5000, 0.000000, 0.001262, 0.000002
0, 100000, 0.000001, 0.001636, 0.000002
1, 100000, 0.000000, 0.002643, 0.000003
2, 100000, 0.000001, 0.001928, 0.000003
3, 100000, 0.000001, 0.001765, 0.000003
0, 1000, 0.000000, 0.000711, 0.000002
1, 1000, 0.000001, 0.001061, 0.000002
2, 1000, 0.000001, 0.000765, 0.000002
3, 1000, 0.000001, 0.000388, 0.000002
0, 100000000, 0.000002, 0.005848, 0.000003
1, 100000000, 0.000002, 0.011943, 0.000005
2, 100000000, 0.000001, 0.007726, 0.000004
3, 100000000, 0.000001, 0.004912, 0.000004
0, 5000000, 0.000001, 0.003542, 0.000003
1, 5000000, 0.000001, 0.001763, 0.000003
2, 5000000, 0.000001, 0.002578, 0.000003
3, 5000000, 0.000001, 0.002753, 0.000003
0, 10, 0.000000, 0.000129, 0.000001
1, 10, 0.000000, 0.000123, 0.000001
2, 10, 0.000001, 0.000126, 0.000001
3, 10, 0.000001, 0.000199, 0.000001
0, 500000000, 0.000002, 0.003092, 0.000003
1, 500000000, 0.000001, 0.003754, 0.000004
2, 500000000, 0.000002, 0.004912, 0.000004
3, 500000000, 0.000001, 0.004782, 0.000004
0, 1000000, 0.000001, 0.002625, 0.000003
1, 1000000, 0.000001, 0.001951, 0.000002
2, 1000000, 0.000001, 0.002951, 0.000003
3, 1000000, 0.000001, 0.001554, 0.000004
0, 10, 0.000000, 0.000140, 0.000002
1, 10, 0.000000, 0.000131, 0.000002
2, 10, 0.000000, 0.000173, 0.000002
3, 10, 0.000000, 0.000151, 0.000002
0, 10000, 0.000001, 0.001743, 0.000002
1, 10000, 0.000000, 0.002491, 0.000003
2, 10000, 0.000001, 0.002397, 0.000014
3, 10000, 0.000000, 0.001860, 0.000003
0, 1000000000, 0.000002, 0.007950, 0.000006
1, 1000000000, 0.000001, 0.010688, 0.000005
2, 1000000000, 0.000002, 0.010845, 0.000006
3, 1000000000, 0.000002, 0.009243, 0.000004
0, 500, 0.000001, 0.003310, 0.000013
1, 500, 0.000000, 0.000968, 0.000003
2, 500, 0.000001, 0.001075, 0.000003
3, 500, 0.000000, 0.000943, 0.000002
0, 1000000, 0.000001, 0.002883, 0.000004
1, 1000000, 0.000001, 0.001725, 0.000004
2, 1000000, 0.000000, 0.002192, 0.000004
3, 1000000, 0.000002, 0.002911, 0.000004
0, 1000, 0.000001, 0.000924, 0.000003
1, 1000, 0.000000, 0.000698, 0.000002
2, 1000, 0.000001, 0.001571, 0.000012
3, 1000, 0.000001, 0.005354, 0.000004
0, 500, 0.000000, 0.000654, 0.000003
1, 500, 0.000001, 0.000684, 0.000003
2, 500, 0.000001, 0.000727, 0.000002
3, 500, 0.000000, 0.000613, 0.000002
0, 500000, 0.000001, 0.001624, 0.000005
1, 500000, 0.000001, 0.001461, 0.000003
2, 500000, 0.000001, 0.009639, 0.000005
3, 500000, 0.000001, 0.003481, 0.000004
0, 100, 0.000000, 0.000681, 0.000002
1, 100, 0.000001, 0.000282, 0.000002
2, 100, 0.000000, 0.001493, 0.000006
3, 100, 0.000000, 0.000244, 0.000001
0, 10000, 0.000000, 0.002077, 0.000003
1, 10000, 0.000000, 0.001258, 0.000003
2, 10000, 0.000001, 0.001605, 0.000003
3, 10000, 0.000001, 0.002002, 0.000008
0, 100, 0.000000, 0.000520, 0.000002
1, 100, 0.000000, 0.000246, 0.000001
2, 100, 0.000000, 0.000240, 0.000002
3, 100, 0.000001, 0.000274, 0.000001
0, 10000, 0.000000, 0.001918, 0.000003
1, 10000, 0.000001, 0.001682, 0.000003
2, 10000, 0.000001, 0.003399, 0.000009
3, 10000, 0.000001, 0.001554, 0.000004
0, 50000000, 0.000002, 0.004147, 0.000004
1, 50000000, 0.000001, 0.003021, 0.000004
2, 50000000, 0.000001, 0.003038, 0.000003
3, 50000000, 0.000001, 0.004776, 0.000004
0, 1000000, 0.000001, 0.002561, 0.000013
1, 1000000, 0.000001, 0.001945, 0.000004
2, 1000000, 0.000001, 0.002650, 0.000004
3, 1000000, 0.000001, 0.003412, 0.000003
0, 500000, 0.000001, 0.002306, 0.000003
1, 500000, 0.000000, 0.003704, 0.000003
2, 500000, 0.000000, 0.002333, 0.000003
3, 500000, 0.000001, 0.002392, 0.000003
0, 5000000, 0.000002, 0.003027, 0.000004
1, 5000000, 0.000002, 0.004557, 0.000004
2, 5000000, 0.000001, 0.002242, 0.000005
3, 5000000, 0.000001, 0.002771, 0.000004
0, 500000, 0.000001, 0.004766, 0.000004
1, 500000, 0.000001, 0.002073, 0.000005
2, 500000, 0.000001, 0.003434, 0.000004
3, 500000, 0.000001, 0.003272, 0.000004
0, 1000, 0.000001, 0.001694, 0.000007
1, 1000, 0.000000, 0.000654, 0.000002
2, 1000, 0.000000, 0.001068, 0.000003
3, 1000, 0.000000, 0.001041, 0.000003
0, 10, 0.000001, 0.000102, 0.000002
1, 10, 0.000000, 0.000114, 0.000002
2, 10, 0.000001, 0.000101, 0.000001
3, 10, 0.000000, 0.000099, 0.000001
0, 10000, 0.000001, 0.002687, 0.000003
1, 10000, 0.000001, 0.001033, 0.000003
2, 10000, 0.000001, 0.000995, 0.000003
3, 10000, 0.000001, 0.002134, 0.000003
0, 10, 0.000000, 0.000132, 0.000001
1, 10, 0.000000, 0.000147, 0.000002
2, 10, 0.000000, 0.000131, 0.000001
3, 10, 0.000000, 0.000140, 0.000002
0, 1000000000, 0.000002, 0.007869, 0.000013
1, 1000000000, 0.000001, 0.006963, 0.000004
2, 1000000000, 0.000001, 0.007713, 0.000005
3, 1000000000, 0.000001, 0.008539, 0.000004
0, 1000000, 0.000002, 0.002915, 0.000004
1, 1000000, 0.000001, 0.002653, 0.000004
2, 1000000, 0.000001, 0.002118, 0.000004
3, 1000000, 0.000001, 0.004130, 0.000004
0, 5000, 0.000001, 0.001669, 0.000003
1, 5000, 0.000001, 0.001476, 0.000003
2, 5000, 0.000000, 0.002488, 0.000003
3, 5000, 0.000000, 0.002036, 0.000004
0, 1000, 0.000001, 0.000369, 0.000002
1, 1000, 0.000001, 0.000757, 0.000002
2, 1000, 0.000000, 0.000969, 0.000003
3, 1000, 0.000000, 0.000765, 0.000003
0, 50, 0.000000, 0.000188, 0.000001
1, 50, 0.000000, 0.000597, 0.000002
2, 50, 0.000000, 0.000198, 0.000002
3, 50, 0.000000, 0.000200, 0.000001
0, 5000000, 0.000002, 0.002894, 0.000004
1, 5000000, 0.000001, 0.002644, 0.000003
2, 5000000, 0.000001, 0.002909, 0.000006
3, 5000000, 0.000001, 0.004157, 0.000003
0, 50000000, 0.000002, 0.003375, 0.000004
1, 50000000, 0.000001, 0.004124, 0.000004
2, 50000000, 0.000001, 0.002555, 0.000004
3, 50000000, 0.000001, 0.004712, 0.000003
0, 1000, 0.000001, 0.001624, 0.000002
1, 1000, 0.000000, 0.000798, 0.000002
2, 1000, 0.000001, 0.000716, 0.000002
3, 1000, 0.000000, 0.000991, 0.000003
0, 500000000, 0.000002, 0.005322, 0.000004
1, 500000000, 0.000002, 0.004559, 0.000004
2, 500000000, 0.000002, 0.005946, 0.000005
3, 500000000, 0.000001, 0.006421, 0.000005
0, 500000000, 0.000002, 0.004306, 0.000004
1, 500000000, 0.000002, 0.004203, 0.000005
2, 500000000, 0.000001, 0.004025, 0.000004
3, 500000000, 0.000001, 0.011876, 0.000005
0, 50000, 0.000002, 0.002697, 0.000003
1, 50000, 0.000001, 0.001951, 0.000003
2, 50000, 0.000001, 0.002100, 0.000002
3, 50000, 0.000001, 0.003034, 0.000004
0, 50, 0.000000, 0.000219, 0.000002
1, 50, 0.000000, 0.000150, 0.000001
2, 50, 0.000000, 0.000137, 0.000001
3, 50, 0.000000, 0.000519, 0.000001
0, 50000, 0.000001, 0.003689, 0.000003
1, 50000, 0.000001, 0.004525, 0.000003
2, 50000, 0.000000, 0.002639, 0.000004
3, 50000, 0.000001, 0.001463, 0.000003
0, 1000000000, 0.000001, 0.007370, 0.000005
1, 1000000000, 0.000002, 0.004705, 0.000005
2, 1000000000, 0.000001, 0.009993, 0.000005
3, 1000000000, 0.000001, 0.005751, 0.000004
0, 10000000, 0.000001, 0.004318, 0.000003
1, 10000000, 0.000001, 0.003493, 0.000003
2, 10000000, 0.000001, 0.004367, 0.000004
3, 10000000, 0.000001, 0.005994, 0.000004
0, 500000, 0.000001, 0.002443, 0.000003
1, 500000, 0.000001, 0.002341, 0.000002
2, 500000, 0.000001, 0.001494, 0.000003
3, 500000, 0.000001, 0.003214, 0.000003
0, 1000000000, 0.000002, 0.007785, 0.000004
1, 1000000000, 0.000001, 0.006099, 0.000004
2, 1000000000, 0.000002, 0.007192, 0.000008
3, 1000000000, 0.000002, 0.006590, 0.000004
0, 50000, 0.000002, 0.001793, 0.000003
1, 50000, 0.000001, 0.003143, 0.000003
2, 50000, 0.000000, 0.001590, 0.000002
3, 50000, 0.000001, 0.002371, 0.000002
0, 50, 0.000001, 0.000207, 0.000002
1, 50, 0.000000, 0.000209, 0.000001
2, 50, 0.000001, 0.000212, 0.000002
