Opt, Size, Seq, Par, Libc
0, 50000000, 0.000003, 0.005944, 0.000005
1, 50000000, 0.000001, 0.002627, 0.000004
2, 50000000, 0.000002, 0.003851, 0.000004
3, 50000000, 0.000001, 0.005624, 0.000004
0, 50, 0.000000, 0.000220, 0.000002
1, 50, 0.000001, 0.000451, 0.000001
2, 50, 0.000000, 0.000148, 0.000001
3, 50, 0.000000, 0.000555, 0.000002
0, 10000000, 0.000001, 0.004202, 0.000004
1, 10000000, 0.000001, 0.004048, 0.000003
2, 10000000, 0.000001, 0.005814, 0.000005
3, 10000000, 0.000001, 0.004147, 0.000003
0, 1000000, 0.000001, 0.003618, 0.000003
1, 1000000, 0.000000, 0.003642, 0.000003
2, 1000000, 0.000001, 0.003762, 0.000003
3, 1000000, 0.000001, 0.002509, 0.000002
0, 100000, 0.000002, 0.002403, 0.000002
1, 100000, 0.000001, 0.002834, 0.000003
2, 100000, 0.000001, 0.004139, 0.000003
3, 100000, 0.000001, 0.002517, 0.000002
0, 1000000, 0.000001, 0.003250, 0.000003
1, 1000000, 0.000001, 0.003018, 0.000003
2, 1000000, 0.000001, 0.003188, 0.000003
3, 1000000, 0.000001, 0.003450, 0.000004
0, 50, 0.000000, 0.000195, 0.000002
1, 50, 0.000000, 0.000497, 0.000001
2, 50, 0.000000, 0.000235, 0.000002
3, 50, 0.000000, 0.000153, 0.000001
0, 10000000, 0.000001, 0.004925, 0.000004
1, 10000000, 0.000001, 0.003162, 0.000003
2, 10000000, 0.000001, 0.004226, 0.000004
3, 10000000, 0.000001, 0.004179, 0.000003
0, 500000, 0.000001, 0.002931, 0.000004
1, 500000, 0.000000, 0.001436, 0.000003
2, 500000, 0.000001, 0.001938, 0.000003
3, 500000, 0.000001, 0.001177, 0.000002
0, 50, 0.000000, 0.000161, 0.000001
1, 50, 0.000000, 0.000147, 0.000001
2, 50, 0.000000, 0.000147, 0.000002
3, 50, 0.000000, 0.000165, 0.000011
0, 100, 0.000000, 0.000253, 0.000001
1, 100, 0.000000, 0.000213, 0.000001
2, 100, 0.000001, 0.000193, 0.000001
3, 100, 0.000000, 0.000196, 0.000001
0, 50000, 0.000001, 0.002475, 0.000002
1, 50000, 0.000001, 0.002024, 0.000004
2, 50000, 0.000000, 0.001674, 0.000002
3, 50000, 0.000000, 0.003681, 0.000003
0, 5000, 0.000000, 0.002419, 0.000003
1, 5000, 0.000002, 0.001337, 0.000002
2, 5000, 0.000001, 0.001498, 0.000002
3, 5000, 0.000001, 0.001684, 0.000003
0, 1000, 0.000001, 0.001116, 0.000002
1, 1000, 0.000001, 0.000896, 0.000003
2, 1000, 0.000001, 0.001095, 0.000002
3, 1000, 0.000000, 0.001262, 0.000002
