Opt, Size, Seq, Par, Libc
0, 1000000, 0.271128, 0.484057, 0.277936
1, 1000000, 0.144357, 0.567771, 0.184774
2, 1000000, 0.123672, 0.387186, 0.178798
0, 1000000, 3.908573, 3.537061, 5.506333
1, 1000000, 3.752963, 3.698825, 5.511232
0, 1000000, 0.061876, 0.411286, 0.086017
1, 1000000, 0.058107, 0.425640, 0.083328
0, 1000000, 0.000000, 0.002619, 0.000005
1, 1000000, 0.000001, 0.003052, 0.000004
0, 1000000, 3.767591, 3.554915, 5.551152
1, 1000000, 3.732759, 3.498051, 5.574925
0, 1000000, 0.000063, 0.124340, 0.000069
1, 1000000, 0.000039, 0.092322, 0.000088
0, 1000000, 0.000039, 0.130169, 0.000090
1, 1000000, 0.000056, 0.081297, 0.000089
0, 1000000, 2.187264, 2.178594, 3.209387
1, 1000000, 2.187025, 2.286734, 3.247519
0, 1000000, 0.690130, 0.977259, 0.995842
1, 1000000, 0.685630, 0.951199, 0.991388
0, 1000000, 0.000009, 0.036378, 0.000013
1, 1000000, 0.000009, 0.035284, 0.000017
0, 1000000, 0.000495, 0.229746, 0.000838
1, 1000000, 0.000541, 0.224157, 0.000818
0, 1000000, 2.182341, 2.143307, 3.209221
1, 1000000, 2.178821, 2.260826, 3.209813
0, 1000000, 0.000056, 0.110317, 0.000088
1, 1000000, 0.000057, 0.124593, 0.000089
0, 1000000, 0.000010, 0.045375, 0.000015
1, 1000000, 0.000010, 0.035803, 0.000015
0, 1000000, 0.984181, 1.134915, 1.427212
1, 1000000, 0.996565, 1.116375, 1.426883
0, 1000000, 0.000614, 0.218258, 0.000869
1, 1000000, 0.000522, 0.231442, 0.000849
0, 1000000, 0.685812, 0.875264, 0.992375
1, 1000000, 0.684901, 0.912301, 0.994189
0, 1000000, 1.424746, 1.582313, 2.084842
1, 1000000, 1.414748, 1.639421, 2.080168
0, 1000000, 0.000976, 0.256905, 0.001729
1, 1000000, 0.000881, 0.346239, 0.001500
0, 1000000, 2.173311, 2.190028, 3.196432
1, 1000000, 2.171885, 2.275573, 3.219616
0, 1000000, 0.000005, 0.013613, 0.000009
1, 1000000, 0.000004, 0.022675, 0.000010
0, 1000000, 0.010534, 0.396737, 0.016058
1, 1000000, 0.011194, 0.295342, 0.016370
0, 1000000, 0.000011, 0.046448, 0.000017
1, 1000000, 0.000011, 0.028917, 0.000017
0, 1000000, 0.000479, 0.249563, 0.000868
1, 1000000, 0.000529, 0.192575, 0.000955
0, 1000000, 2.180337, 2.229616, 3.208742
1, 1000000, 2.167997, 2.152311, 3.212062
0, 1000000, 0.000457, 0.286527, 0.000906
1, 1000000, 0.000466, 0.206703, 0.000680
0, 1000000, 0.010399, 0.396830, 0.015376
1, 1000000, 0.010617, 0.398924, 0.015297
0, 1000000, 0.000115, 0.136477, 0.000164
1, 1000000, 0.000107, 0.112410, 0.000159
0, 1000000, 2.183504, 2.238147, 3.218221
1, 1000000, 2.182961, 2.201900, 3.200090
0, 1000000, 0.680344, 0.912480, 0.990085
1, 1000000, 0.685876, 0.907302, 0.992098
0, 1000000, 0.000001, 0.003877, 0.000003
1, 1000000, 0.000001, 0.002525, 0.000003
0, 1000000, 3.764417, 3.637472, 5.529500
1, 1000000, 3.713151, 3.617185, 5.496805
0, 1000000, 0.123388, 0.460015, 0.182325
1, 1000000, 0.124351, 0.331602, 0.176448
0, 1000000, 0.000001, 0.003265, 0.000005
1, 1000000, 0.000001, 0.003094, 0.000004
0, 1000000, 0.000910, 0.269797, 0.001746
1, 1000000, 0.000886, 0.296059, 0.001820
0, 1000000, 0.000001, 0.000113, 0.000001
1, 1000000, 0.000000, 0.000100, 0.000001
0, 1000000, 0.000057, 0.116671, 0.000089
1, 1000000, 0.000051, 0.113537, 0.000069
0, 1000000, 0.122992, 0.379490, 0.178137
1, 1000000, 0.124510, 0.390592, 0.180591
0, 1000000, 0.000129, 0.130813, 0.000166
1, 1000000, 0.000114, 0.126128, 0.000162
0, 1000000, 0.000050, 0.135695, 0.000092
1, 1000000, 0.000053, 0.126289, 0.000091
0, 1000000, 0.060830, 0.367597, 0.084583
1, 1000000, 0.061739, 0.401048, 0.087257
0, 1000000, 0.000008, 0.025813, 0.000014
1, 1000000, 0.000012, 0.033023, 0.000017
0, 1000000, 0.000983, 0.283458, 0.001751
1, 1000000, 0.000945, 0.254015, 0.001786
0, 1000000, 0.000010, 0.041068, 0.000015
1, 1000000, 0.000011, 0.036407, 0.000016
0, 1000000, 0.000994, 0.297014, 0.001717
1, 1000000, 0.000945, 0.292431, 0.001650
0, 1000000, 1.411915, 1.525122, 2.067984
1, 1000000, 1.407919, 1.506562, 2.083078
0, 1000000, 0.123610, 0.382193, 0.177718
1, 1000000, 0.129903, 0.387762, 0.179545
0, 1000000, 0.058460, 0.343878, 0.085933
1, 1000000, 0.057974, 0.273068, 0.084300
0, 1000000, 0.693482, 0.938272, 0.991359
1, 1000000, 0.684705, 0.938622, 0.997241
0, 1000000, 0.060010, 0.372308, 0.085788
1, 1000000, 0.059388, 0.304870, 0.084202
0, 1000000, 0.000117, 0.179495, 0.000168
1, 1000000, 0.000110, 0.133940, 0.000167
0, 1000000, 0.000001, 0.003199, 0.000003
1, 1000000, 0.000001, 0.004139, 0.000005
0, 1000000, 0.000975, 0.243667, 0.001744
1, 1000000, 0.000983, 0.254550, 0.001381
0, 1000000, 0.000001, 0.003436, 0.000004
1, 1000000, 0.000001, 0.003032, 0.000005
0, 1000000, 0.000000, 0.000171, 0.000001
1, 1000000, 0.000000, 0.000148, 0.000001
0, 1000000, 0.122396, 0.462046, 0.181860
1, 1000000, 0.122855, 0.435614, 0.175589
0, 1000000, 0.000542, 0.261413, 0.000866
1, 1000000, 0.000557, 0.257407, 0.000661
0, 1000000, 0.000081, 0.114409, 0.000166
1, 1000000, 0.000113, 0.100782, 0.000119
0, 1000000, 0.000003, 0.023392, 0.000010
1, 1000000, 0.000005, 0.023948, 0.000011
0, 1000000, 0.694621, 0.871596, 0.996691
1, 1000000, 0.678411, 1.022902, 0.992839
0, 1000000, 1.418782, 1.562372, 2.110913
1, 1000000, 1.428220, 1.628228, 2.078516
0, 1000000, 0.000125, 0.165949, 0.000165
1, 1000000, 0.000134, 0.154906, 0.000123
0, 1000000, 3.726268, 3.749376, 5.557394
1, 1000000, 3.798262, 3.550544, 5.526132
0, 1000000, 3.729842, 3.592934, 5.526406
1, 1000000, 3.749107, 3.625067, 5.529866
0, 1000000, 0.004934, 0.314208, 0.007315
1, 1000000, 0.004934, 0.340141, 0.007655
0, 1000000, 0.000003, 0.021954, 0.000011
1, 1000000, 0.000006, 0.019732, 0.000010
0, 1000000, 0.004942, 0.327779, 0.007842
1, 1000000, 0.004974, 0.335322, 0.007744
0, 1000000, 0.000001, 0.000127, 0.000002
1, 1000000, 0.000000, 0.000116, 0.000001
0, 1000000, 0.983568, 1.156983, 1.438947
1, 1000000, 1.009618, 1.250066, 1.426103
0, 1000000, 0.059016, 0.467985, 0.085519
1, 1000000, 0.059501, 0.437007, 0.086573
0, 1000000, 0.000000, 0.000139, 0.000001
1, 1000000, 0.000000, 0.000168, 0.000002
0, 1000000, 0.005028, 0.343318, 0.007842
1, 1000000, 0.005494, 0.328728, 0.007950
0, 1000000, 0.000004, 0.023405, 0.000009
1, 1000000, 0.000005, 0.016284, 0.000007
0, 1000000, 0.010634, 0.361705, 0.017281
1, 1000000, 0.010385, 0.366973, 0.015100
0, 1000000, 0.004905, 0.302984, 0.007348
1, 1000000, 0.005727, 0.367526, 0.007451
0, 1000000, 0.005455, 0.181027, 0.007780
1, 1000000, 0.005069, 0.161857, 0.008027
0, 1000000, 0.000005, 0.019936, 0.000010
1, 1000000, 0.000005, 0.016430, 0.000009
0, 1000000, 1.421655, 1.529689, 2.074271
1, 1000000, 1.451340, 1.576952, 2.070183
0, 1000000, 1.433804, 1.623812, 2.074740
1, 1000000, 1.425050, 1.556046, 2.079264
0, 1000000, 0.000001, 0.000133, 0.000001
1, 1000000, 0.000000, 0.000143, 0.000001
0, 1000000, 0.982402, 1.167697, 1.432724
1, 1000000, 0.979248, 1.176125, 1.441023
0, 1000000, 0.981153, 1.185068, 1.434167
1, 1000000, 1.001117, 1.266085, 1.429585
0, 1000000, 0.974744, 1.150497, 1.477284
1, 1000000, 0.984697, 1.249933, 1.453561
0, 1000000, 0.011691, 0.235378, 0.015251
1, 1000000, 0.010565, 0.237101, 0.015545
0, 1000000, 0.010536, 0.419149, 0.015049
1, 1000000, 0.010804, 0.337952, 0.015531
